id;title;acronym;createdAt;organizingCompaniesNames;contactPersonsNames;organizingEmails;website;email;autopublishing;delegatesMoreThan1Country;delegatesAnticipate;assesmentNameVenue;assesmentCategoryVenue;assesmentCity;assesmentLocalNA;assesmentProposedAccomodation;eventProgramme;comments;isNew;therapeuticArea;therapeuticAreaOther;isPreClearance;submissionDate;assessedOnDate;conferenceStatusText;isCORecommendation;conferenceStatusDate;isPublished;archive;startConferenceDate;endConferenceDate;country;status;statusId;documents;
97;name conf;qqqqqq;;qqqqqqqqq;qqqqqqqqqqq;qqqqqqq;qqqqqqqqqq;;1;2;1;qqqqqq;qqqqqqqqqqq;qqqqqqqq;qqqqqqqq;qqqqqqqqq;qqqqqqqqq;qqqqqqqqqq;;Endocrinology;qqqqqqqq;1;;;;;;;;01.12.2015;31.12.2015;American Samoa;;;;
100;Name of the conference;Acronym of the conference;;adfadfadfadfa;sdfasdfadsfadf;emt_test1@mailinator.com;yandex.ru;;;1;≥ 1001;Name of venue;Category of venue;City;Local national association;Proposed accommodation;asfasdfasdfasd;secfdfgcsgdfgvsd111122222333;;Anaesthesiology;Other therapeutic area;1;;;;;;;;17.05.2016;17.06.2016;United States;;;;
6;testing;dsd;;testing;fdfdsfd;gongalo88@gmail.com;fdfs;sash_dnestrovsk@mail.ru;;2;222;;;Odessa;;;;;;Cardiology/Cardiovascular;;;02.04.2015;;<p>11111111111111111111111111</p>;1;07.04.2015;;;31.10.2015;17.12.2015;Algeria;Compliant;4;;
18;sfs;sdfsdf;;sdfsdf;sdfsdf;sdfsdffdf;http://sdsd.com;asdasddasfflsdfsd@mail.by;;2;;dfdf;;;;;;;;Dermatology;;;01.04.2015;;;;07.04.2015;;;07.09.2015;07.10.2015;Zambia;Compliant;4;;
26;Название конференции BLA BLA BLA;Сокращенное название;;1,11111E+22;2,22222E+18;s.gongalo@ossystem.com.ua;web.os-system.com;s.gongalo@ossystem.com.ua;;;;Название места;;;Национальные ассоциации;;;;;Allergology and Immunology;;1;27.03.2015;;;;03.04.2015;;;30.04.2015;19.11.2015;Albania;Compliant;4;;
40;PreClTest;PrCl;;nmvng mvmmmvmfmdlfmvmxfjkjkjjklfvjgiuastyyuy, hhvhhhosd, popouewioohuhfds, vcoseewiteytyfv, hgiflhsd, isudgfod, aosgdiywrquuuuucv;kdkldncnlsh, peuhfdjshd, xznvsoeggasykg, zxkbcjskjvj,nvmz, zxmncksg, lhjfdb;alexandrazh@ukr.net;http://newethicalmedtech.ossystem.com.ua/;alexandrazh@ukr.net;1;1;800;Name of venue;Category of venue;City;Local national association;Proposed accommodation;http://newethicalmedtech.ossystem.com.ua/conferences;"khglkkkjbjbl kgfdkgn dkflkghlkldf fdghhdfkh jldhlfg;lldl jdfjjjkkdvnbcxnbd";;Stomatology;hey you;;24.04.2015;;;1;24.04.2015;1;;05.11.2015;18.12.2015;Barbados;Compliant;4;http://newethicalmedtech.ossystem.com.ua/uploads/documents/40/f62a979c82535c1ebdb417b710e0b528.docx;http://newethicalmedtech.ossystem.com.ua/uploads/documents/40/b04851f03502ed079ea2effce661b332.docx , http://newethicalmedtech.ossystem.com.ua/uploads/documents/40/1764e448bebbe6bdd9a73bc0d73d8ad6.doc , http://newethicalmedtech.ossystem.com.ua/uploads/documents/40/50c346e3a9712ce58143e1b071307389.jpg , http://newethicalmedtech.ossystem.com.ua/uploads/documents/40/e8b4db4b3f7f91a64dec293e3841b5fa.html , http://newethicalmedtech.ossystem.com.ua/uploads/documents/40/7973a88ae4c3aca0c49c2ef20cb4b8ec.docx , http://newethicalmedtech.ossystem.com.ua/uploads/documents/40/d20031d80c528cae80b0ddb37b186317.doc
44;Testing;Testing;;lhllopidl;fggdgdrr;sani4ka@ukr.net;https://mail.ukr.net;alexandrazh@ukr.net;1;1;550;venue;hotel;Rome;LNA;full accommodation;testprogramme;uui;;General Surgery;;;28.04.2015;;;1;28.04.2015;;;26.10.2015;31.10.2015;Cocos (Keeling) Islands;Compliant;4;http://newethicalmedtech.ossystem.com.ua/uploads/documents/44/9e61ff610ebb012ca2224867a55312c9.docx;http://newethicalmedtech.ossystem.com.ua/uploads/documents/44/d9d0dd464975fb06d1cf6c67f2d51322.png , http://newethicalmedtech.ossystem.com.ua/uploads/documents/44/8c366c27b3c20c3d5a72b97eec7c4a44.png , http://newethicalmedtech.ossystem.com.ua/uploads/documents/44/072a9823c9a83a645b1a93d20ac35a51.docx
74;ZZZZZZZZZZZZZZZZZZZZZ;ZZZZZZZZZ;;N/A;DENISKA;test1@mailinator.com;www.www.www;test1@mailinator.com;1;1;< 50;Venue;Category;Odessa;asdxzczxv;asdxzczxv;www.www.www;adsadasd;;Other (please specify);Narcology;;03.09.2015;;<p>asdasdasdas</p>;1;03.09.2015;1;;01.01.2016;07.01.2016;Ukraine;Compliant;4;http://newethicalmedtech.ossystem.com.ua/uploads/documents/74/c5ad3399e911d105916264b30c494778.py;http://newethicalmedtech.ossystem.com.ua/uploads/documents/74/6c311b83c19848863a0ba4f883bc2654.py , http://newethicalmedtech.ossystem.com.ua/uploads/documents/74/e9d6c68fc9c4a55cf6a0b7aebb48a857.py
82;Name of the conference;NOTC;;n/a;bob;v.semko@ossystem.com.ua;;;1;2;≥ 1001;place-qqq;hotrl;city;local associate;home;;"&*%(*))_*(L:J:OI l;kfgh'fx"" 580 jfd;tird";;Cardiology/Cardiovascular;;;;;;1;10.09.2015;1;;13.09.2015;20.09.2015;Venezuela;Compliant;4;http://newethicalmedtech.ossystem.com.ua/uploads/documents/82/fb93c2b693b55de168c51a01aa7f019d.docx;http://newethicalmedtech.ossystem.com.ua/uploads/documents/82/ceb73cfb53a70f00e71b3beb7f25e920.docx , http://newethicalmedtech.ossystem.com.ua/uploads/documents/82/92bb5d7fb975ab758a7a988691ac30ad.docx , http://newethicalmedtech.ossystem.com.ua/uploads/documents/82/c07d3bc7b24e30b24c2e127539264f42.docx
1;Nature and needles;N&N;02.01.2015;Greenpeace;Frodo Baggings;Frodo@hobbits.com;http://vk.com/frodo;qna@greenpeace.com;1;2;500;Krasnaya Poliana;Hotel;Odessa;;propopo;fgh;;;Other (please specify);camdialogy;;31.03.2015;22.03.2015;<p>Oh, <strong>NO1112!</strong></p>;;01.09.2015;1;;01.10.2015;07.10.2015;France;Double Entry;9;http://newethicalmedtech.ossystem.com.ua/uploads/documents/1/2385892fa83dacd6281ebf49f1d50d2a.png;http://newethicalmedtech.ossystem.com.ua/uploads/documents/1/2ea60d81673359eb1e2ec6d31b6f85b3.php , http://newethicalmedtech.ossystem.com.ua/uploads/documents/1/5a24e9f531fa3a19b3417f2832907b10.css , http://newethicalmedtech.ossystem.com.ua/uploads/documents/1/5a80dad7e733a69421b477dc7178d5f2.jpg , http://newethicalmedtech.ossystem.com.ua/uploads/documents/1/1165b101910326480f87a1542d85ae23.png , http://newethicalmedtech.ossystem.com.ua/uploads/documents/1/33349e2c18407464a86e6bd8e0fb124b.jpg
43;PCOO;PCOO;;gfjglk;fghhf;alexandrazh@ukr.net;https://www.ukr.net;alexandrazh@ukr.net;1;1;700;venue;hotel;Chichu;Local national association;Proposed accommodation;;;;;tyriklf;1;24.04.2015;;;1;24.04.2015;1;;27.10.2015;30.10.2015;Peru;Double Entry;9;http://newethicalmedtech.ossystem.com.ua/uploads/documents/43/7a25ece764066932518890f7d82e91cb.png;
55;Event 007;james;;To;sto;mi;http://www.fantasycooking.net78.net;toni.doma007@gmail.com;;2;5;u;snove;ne dolazis;a djavo;prste;http://www.ethicalmedtech.eu/contact;dsfds;;General Surgery;Maradona;;;;;1;;;;13.11.2015;12.06.2015;Angola;Double Entry;9;http://newethicalmedtech.ossystem.com.ua/uploads/documents/55/cd4c097447b1dcc819f7478acb1157b8.txt;http://newethicalmedtech.ossystem.com.ua/uploads/documents/55/d07053209a9ec0457cca1a65f0ed3cac.docx , http://newethicalmedtech.ossystem.com.ua/uploads/documents/55/151b3a63bc66510e80a8d370fd5c2dab.txt
79;DASDASD;ASDASDAS;;ASDAFASD;ASDASDAS;testMT1@mailinator.com;www.www.www;vvvvv;;1;1;SDASF;ASDASDA;ASDAS;AASDAFS;SADASFDASD;sadSADAS;ASDASFASD;;Anaesthesiology;ASDASFASD;;08.09.2015;;;1;;1;;03.02.2016;16.04.2016;Algeria;Double Entry;9;;
85;name conf wwwwwwwwwwwww;www;;conf org;lol;adress;klhk;;;0;< 50;;;;;;;uhoguyou;;Gastroenterology;we;;10.09.2015;;;;;;;10.12.2015;31.12.2015;Anguilla;Double Entry;9;;
86;sgrdgs;Afas;;dfhd;dhd;fghdfgh@af.fs;dfghdf;;;;1;sdfgsdg;sdgsd;sdfgs;sfdgsd;sdfgs;asdf;;;Anaesthesiology;aasfas;1;;;;;;;;10.09.2015;10.09.2015;Albania;Double Entry;9;;
4;Some 4;s4;;guildy;asdfsdf;sdfsdf;sdfsd;sdfdsf;;;;;;;;;;;1;;;;;;;1;;;;13.03.2015;;Belarus;Info complete;3;;
98;Name of the conference-regular submission;NoC-RS;;"name of conf org ""NC""";Bill;valery7ko@gmail.com;www.website;лллллл;;1;≥ 1001;Name-VENU;Hotel.Venu;City-Illi;ffffffff;accomodation-home;www.link;comments;;Orthopaedics;ortoped;;21.09.2015;;<p>coment</p>;1;21.09.2015;;;01.02.2016;29.02.2016;Angola;Non compliant criteria;6;http://newethicalmedtech.ossystem.com.ua/uploads/documents/98/912b75481de13ceaf6b02be10f85ef9e.jpg;
91;test7-submit an event;;;fghfd;fdgtr;valeria7ko@mail.ua;tghrfty;;;;;;;;;;;;;;;;10.09.2015;;<p>not assesd test 7</p>;;11.09.2015;;;01.01.2016;31.01.2016;Angola;Not assessed;7;;
